Title,Url,Date,Description
Pakistan: Dozens killed in Punjab flooding,https://www.dw.com/en/pakistan-dozens-killed-in-punjab-flooding/a-73329233?maca=en-rss-en-world-4025-rdf,2025-07-18T16:01:00Z,"Dozens of people have been killed in flooding in Punjab in easternPakistanover the past two days with the country experiencing around twice the amount of rainfall compared to July last year. At least 54 people had been killed in a period of 24 hours on Thursday – a figure which, according to local media, had increased to least 63 by Friday. To view this video please enable JavaScript, and consider upgrading to a web browser thatsupports HTML5 video According to the Pakistan Meteorological Department (PMD), Pakistan as a whole has experienced 82% more rainfall so far this month compared to the same period in 2024, a percentage which increases to 124% for the eastern Punjab region. Almost 200 deaths have been reportednationwide since June 26. On Thursday, authorities imposed a so-called section 144 warning which bans bathing, swimming or boating in rivers, canals, ponds, lakes, reservoirs or any other open spaces where rainwater may have accumulated. Television news footage showed an army helicopter plucking three members of a family from the roof of their house after they were stranded by a flash flood on the outskirts of Rawalpindi, which neighbors the capital city of Islamabad on the Sawan river. Tourists were advised to avoid travel to affected areas where rains could trigger landslides and block highways. On Friday, the PDMA reported ""medium-level"" flooding in the town of Kalabagh on the Indus river and ""low-level"" flooding in four other locations. ""The flow of water in rivers is increasing due to monsoon rains and glacial melting,"" said a PDMA spokesperson in a statement. Pakistan's second-largest city, Lahore, received ""light to moderate"" rain on Friday, according to the local Water and Sanitation Agency (WASA). Meanwhile, Pakistan's National Disaster Management Authority (NDMA) has forecasted several more spells of heavy rain in the coming weeks, starting with a seven-day period next week and continuing with further spells into late August. In 2022, extreme rain and flooding inundated a third of the country, killing over 1,700 people. Authorities have warned they cannot rule out a repeat. Edited by: Rana Taha"
Brazil's Bolsonaro ordered to wear ankle monitor,https://www.dw.com/en/brazil-s-bolsonaro-ordered-to-wear-ankle-monitor/a-73327772?maca=en-rss-en-world-4025-rdf,2025-07-18T13:58:00Z,"Brazil's Supreme Court has ordered former PresidentJair Bolsonaroto wear an ankle monitor. The decision came as authorities searched the former president's home and party headquarters in Brasília on Friday. He was additionally ordered to stop using social media and to cease communications with diplomats. The former president is also banned from contacting others under investigation, including his son Eduardo Bolsonaro, a Brazilian lawmaker living in the US with close ties to PresidentDonald Trump. The measures are reportedly aimed at preventing Bolsonaro from fleeing to the US, where Trump has threatened steep tariffs on Brazilian imports in an effort to ease legal pressure on the former president. Bolsonaro, who is on trial for allegedlyplotting to overturn the results of the 2022 presidential election, said he never considered fleeing the country and called the court's measure his ""supreme humiliation."" Trump, who maintained a friendly relationship with Bolsonaro while both were in office, has repeatedly claimed the former Brazilian president is the victim of a ""witch hunt."" ""I have seen the terrible treatment you are receiving at the hands of an unjust system turned against you,"" Trump wrote in a letter to Bolsonaro that he posted on social media Thursday night, before the raids and court order. Trump also said hisproposed 50% tariffs on Brazilian importswere intended to pressure Brazilian authorities into dropping the charges. Unlike Trump’s other tariffs, including those imposed on US allies, the ones targeting Brazil, set to take effect in August, were announced in openly political terms. At the time, he said they were a response to ""Brazil's insidious attacks on Free Elections."" Brazilian PresidentLuiz Inacio Lula da Silvacalled the threatened duty""unacceptable blackmail."" The Supreme Court’s restrictions on Bolsonaro also stem from a second investigation into his son Eduardo, who is accused of collaborating with US authorities to sanction Brazilian officials. On Wednesday, Eduardo posted a video filmed outside the White House, saying he had just concluded a round of meetings with US officials. He had reportedly urged senior White House officials to impose sanctions on the Brazilian judge overseeing his father’s prosecution. Judge Alexandre de Moraes, who is overseeing the trial now in its final stages, said the president and his son Eduardo had incited ""hostile acts"" against Brazil. He said Bolsonaro had asked the ""head of state of a foreign nation"" to interfere in the Brazilian courts. To view this video please enable JavaScript, and consider upgrading to a web browser thatsupports HTML5 video Edited by: Rana Taha"
Fact check: Misinformation fuels anti-migrant riots in Spain,https://www.dw.com/en/fact-check-misinformation-fuels-anti-migrant-riots-in-spain/a-73314931?maca=en-rss-en-world-4025-rdf,2025-07-18T13:21:00Z,"Several days of unrest in the town of Torre Pacheco, near Murcia, have highlighted rising tensions overmigrationin Spain. Sixty-eight-year-old pensioner Domingo Tomas Martinez had said he was beaten up by migrants on July 9. The motive of the attack was not immediately clear. But it was followedby several nights of riots and violent protests. Far-right groups posted xenophobic messages on social media, calling for people to""hunt down""migrants. This further escalated tensions. Torre Pachecois a coastal Spanish town of nearly 40,000 people, anda third of its populationconsists of migrants, according to local government data. Police claim that by now peace has been largely restored in the city after the attack. But this is another example of how misinformation can ignite emotions. A video showing an elderly man being assaulted by unidentified persons heightened tensions. The video was widely shared on different social media platforms, it appeared for instance onFacebookand X. Claim:ThisX postwith the video, from July 10, states: ""A video has been leaked of a brutal attack on an elderly man by North Africans in Torre-Pacheco, Murcia."" The post comes from a user with a gold checkmark on their X account, indicating that the account belongs to an official organization through verified organizations. Other accountsalso sharedthe video claiming it showed the attack on Martinez. DW Fact Check:False The video is not from Torre Pacheco. It is related toan incidentthat took place nearly two months ago and was filmed in the city of Almeria, more than 200 kilometers away. The person seen in the video is Jose Moya. After the video went viral in July, Moya posted hisstatementon Instagram clarifying that the person seen in the viral video is, in fact, him. Local media outletsinterviewedhim after the viral video sparked social media outrage against migrants. Moya also showed the T-shirt and trousers on Instagram that he wore on the day of the attack. Calling for justice, he said, ""The one in the video is me. I'm having a hard time making this video because I'm so nervous. But they are getting confused. And what I want to say is that I ask for justice for everything they have done to me and for the old man. The old man is a man from Murcia, and I am from Almeria. I was the one who was beaten."" He explained that two people attacked him while more were present. He said they asked him for tobacco, and when he replied that he didn’t have any, ""They got into a fight with me (…). They cut my head open, broke three ribs, and left me there unconscious."" He claimed the attackers were Spanish, and not migrants. DW Fact Check could confirm the scene in the video was filmed in Almeria, as claimed by Jose Moya in his Instagram post. He also showed a picture of the location taken after the incident, which is included in his video statement.  Wegeo-locatedit near the Centro Periferico de Especialidades (Bola Azul) hospital. The footage matches details such as a row of trees, graffiti, and similar ground. Domingo Tomas Martinez, the man beaten up in Torre Pacheco, has also confirmed that he is not in the video that went viral. He spoke toseveralmediaoutletsfollowing the incident, where he appeared with red eyes and other marks of assault. Similar misleading posts emerged following the case in Murcia, many targeting migrants and Muslims. Here are two examples: Claim:Thisposton X claims that Torre Pacheco's local police were attacked by migrants and that the Civil Guard did not intervene: ""The Torre Pacheco Local Police, overwhelmed by the mob of broccoli-haired people."" DW Fact Check:False This incident took place inTorrevieja, about 40 kilometers from Torre Pacheco. Police officers were attacked by several individuals of migrant background there,reportedmultiple local media outlets. DW verified and identified thelocationof thevideo. Claim:Anotherpostclaimed a ""ham protest"" was organized to respond to the Torre Pacheco incident. The caption reads, ""Torre Pacheco wakes up early. The residents are organizing for the final counter attack."" DW fact check:False This video is unrelated. It was firstpostedin November 2024 on X by a user saying it was an attempt to set a world record for the largest plate of ham. The video was filmed in Huelva and has been viewed more than 2.4 million times since then. Misinformation isn't just a harmless mistake: It can spark violence, fuel hatred, and put lives at risk, as seen in Torre Pacheco: False claims on social media led to further escalations and deep divisions in the community. Before sharing a post,pause and verify the facts. A single misleading video can ignite real world chaos. Check sources, consult fact-checks, and think critically. Stopping the spread of misinformation starts with each one of us. (Thomas Sparrow contributed to this piece) To view this video please enable JavaScript, and consider upgrading to a web browser thatsupports HTML5 video"
Japan: Far-right parties play immigration card ahead of vote,https://www.dw.com/en/japan-far-right-parties-play-immigration-card-ahead-of-vote/a-73322597?maca=en-rss-en-world-4025-rdf,2025-07-18T11:31:00Z,"Far-right forces inJapanhope to capitalize on growing immigration concerns as the ruling Liberal Democratic Party (LDP) andPrime Minister Shigeru Ishibabrace for a tough election on Sunday. The Japanese are set to vote for just over half of the 248 seats in the country's House of Councilors, the upper chamber of the Japanese parliament. Ishiba's LDP and the allied Komeito party need to win at least 50 of those seats in order to maintain their majority.  But even this relatively low bar might prove to be too much amid LDP's tumbling popularity. Whilethe LDP is considered conservative, voters perceive it as moving to more centrist positions in recent years. Now, Ishiba is fending off attacks from unabashedly nationalist parties like Sanseito and the Conservative Party of Japan, whose immigration policies are similar tothe far-right Alternative for Germany(AFD) orDonald Trump'sMAGA movement in the US. Michael Cucek, a professor of politics and international relations at the Tokyo campus of Temple University, says part of the anti-foreigner sentiment is fanned byunruly touristscausing mayhem in the previously serene backstreets of Kyoto and other traditional towns. ""The weak yen has brought in tens of millions of foreign tourists and all the Japanese see is groups of tourists arriving with their suitcases in AirB&B apartments in quiet neighborhoods, being noisy and not following the rules on disposing of garbage correctly,"" he said. There were a record 21.51 million tourist arrivals in the first half of 2025, an increase of 21% over the same period of last year, according to the Japan National Tourism Organization. Officials are anticipating more than 40 million arrivals by the end of the year, with the nation on course to meet the government's target of 60 million foreign visitors annually in 2030. Soaring numbers of tourists may help the national economy, but with Japan's strict cultural norms, many visitors breed resentment if their behavior is raucous, thoughtless or demanding. Such incidents are also invariably picked up by the Japanese media. The media is also quick to report on crimes committed by foreigners living in Japan. Much was made of the arrest of a group of four Vietnamese who entered Japan on tourist visas in 2024 but spent the following two weeks traveling around the country stealing clothes from branches of the Uniqlo chain of clothing stores. Elsewhere, foreigners have been accused of stealing cars for components, taking crops from farmers' fields, sexually abusing women and a plethora of similar offenses. Defenders of immigration point out that Japanese businesses are crying out for labor asbirth rates continue to dropand the number of elderly people grows. But Souhei Kamiya, founder of the far-right Sanseito party, says ""Japan should not rely on foreign workers."" ""Our position is that we will accept those with skills for fixed durations on the understanding that they are not immigrants and they must leave again after a fixed period,"" Kamiya said at a press conference in Tokyo two weeks ago. To view this video please enable JavaScript, and consider upgrading to a web browser thatsupports HTML5 video The politician also said that ""Japan should be run by leveraging Japanese capabilities,"" and that the party will tolerate foreigners who follow the nation's laws and traditions, but those who ignore them have no place in Japan. According to Kamiya, many foreign laborers who have been brought into Japan have quickly absconded from their approved work sites ""and turned to criminal organizations to make money, such as through robbery."" ""Japan's population is expected to drop from around 120 million at present, but even if it falls to 80 million — the same as Germany — then there will be enough people to maintain the country,"" Kamiya told reporters. Yoichi Shimada, a lawmaker for the similarly right-leaning Conservative Party of Japan, shares many of Sanseito's positions and says one of his concerns is foreign nationals purchasing land and property in Japan. ""Rich Chinese are the biggest problem,"" he claimed. ""They are buying land and apartments in Tokyo and around the country and that is a worry because it is impossible to get rich in China without the support of the Chinese Communist Party."" To view this video please enable JavaScript, and consider upgrading to a web browser thatsupports HTML5 video ""The Chinese government is deliberately colonizing Japan and that is a security threat,"" he told DW, insisting that there were records to showChineseindividuals or corporations buying land close to strategic military bases in Japan astension grows between the two Asian nations. Hiromi Murakami, a professor of political science at the Tokyo campus of Temple University, says Japan's far right has been ""inspired"" by the success of Trump's ""America First"" campaigns, with Sanseito even mimicking that slogan with its own ""Japanese First."" ""These right-wing groups' positions are in many ways the same as the MAGA movement and are based on the concept of Japanese exclusivity,"" she said. ""The truth, of course, is that legal immigrants benefit the Japanese economy because of our well-publicized labor shortages — but these claims resonate with people who want to promote the purity or superiority of the Japanese race."" She took issue with the far right blaming immigrants for rising crime figures, pointing out that 10,963 foreigners were arrested in 2020, but that figure had fallen to 9,726 arrests in 2023. In the same time period, the number of foreign residents of Japan had increased from 2.75 million to 3.4 million. ""People are struggling with economic problems at home and it is easy to blame foreigners for the problems in society,"" Murakami said. ""There is an economic downturn, prices are up, there is concern because of the US tariffs, but it is easy for people to take their frustrations out on foreigners."" Edited by: Darko Janjevic"
EU agrees on 18th sanctions package on Russia,https://www.dw.com/en/eu-agrees-on-18th-sanctions-package-on-russia/a-73319055?maca=en-rss-en-world-4025-rdf,2025-07-18T08:56:00Z,"The 27 member states of theEuropean Unionon Friday agreed upon an 18th round of sanctions onRussiaover its full-scaleinvasion of Ukraine. Slovakiahad been holding up the decision, citing concerns over its gas imports. But Slovakian Prime MinisterRobert Ficorelented, saying he had instructed representatives to approve the measures. Fico said that persisting would be ""counterproductive"" for Slovakia's interests as an EU member. ""The EU just approved one of its strongest sanctions packages against Russia to date,"" EU foreign policy chief Kaja Kallas said. ""Each sanction weakens Russia's ability to wage war. The message is clear: Europe will not back down in its support for Ukraine. The EU will keep raising the pressure until Russia ends its war."" German Chancellor Friedrich Merzsaid the decision ""weakens Russia's ability to continue financing the war against Ukraine."" Ukrainian President Volodymyr Zelenskyyalso welcomed the sanctions. ""This decision is essential and timely, especially now, as a response to the fact that Russia has intensified the brutality of the strikes on our cities and villages,"" he said on social media. The sanctions package targets Moscow's financial and energy sectors. It comes afterUS efforts toward a ceasefire in Ukraine failed to materialize. The EU has agreed to lower the price cap on Russian oil exported to third countries to 15% below market value. This is meant to reduce Russia's income by banning shipping and insurance companies that let Russia sell above the cap. The cap was originally a G7 initiative, but the US is not party to the EU's new sanctions. EU officials have admitted this weakens their impact. Brussels has issued several rounds of sanctions on Russia since Putin launched Moscow's full-scale invasion of Ukraine in February 2022. More than 2,400 officials and ""entities"" have been hit with asset freezes and travel bans. But each round of sanctions is getting harder to agree upon, as measures targeting Russia begin to hit the economies of the 27 member states. In May, the block targeted almost 200 ships in Russia's sanction-busting shadow fleet of tankers. Friday's measures added another 100 ships to that list. To view this video please enable JavaScript, and consider upgrading to a web browser thatsupports HTML5 video Edited by: Alex Berry"
US designates Pahalgam attackers as terrorist organization,https://www.dw.com/en/us-designates-pahalgam-attackers-as-terrorist-organization/a-73318926?maca=en-rss-en-world-4025-rdf,2025-07-18T07:15:00Z,"The United States on Thursday designated the group behind the April Pahalgam attack inIndia, which killed 26 people, as a terrorist organization. The US now lists The Resistance Front (TRF) as a Foreign Terrorist Organization (FTO) and Specially Designated Global Terrorist (SDGT). Secretary of State Marco Rubio called the TRF a ""front and proxy"" ofPakistan-basedLashkar-e-Taiba (LeT), a UN-designated terrorist group. Rubio said in a statement that the move reflects Washington's commitment to counterterrorism and enforces US PresidentDonald Trump's""call for justice” over the Pahalgam killings. India welcomed the US decision, with Foreign Minister S. Jaishankar calling it a ""strong affirmation"" of India-US counterterrorism cooperation. In a statement, India's Ministry of External Affairs (MEA) called ""the designation of TRF is a timely and important step reflecting the deep cooperation between India and the United States on counter-terrorism,""The Indian Expressnewspaper reported. Experts see the US move as a sign ofdeepening support for Indiain the wake of the April terrorist attack. ""This can be a shot in the arm for a U.S.-India relationship looking to rebound after a few tough months,"" said Michael Kugelman, a Washington-based South Asia analyst and writer for Foreign Policy magazine told Reuters news agency. The move comes a day after it was reported that Trump would visit Pakistan in September, although this was not confirmed by Pakistani authorities. The April 22 Pahalgam attack, which killed 26mostly Hindu touristsinIndian-administered Kashmir, was the deadliest involving civilians in India since 2008. WhileIndia blamed Pakistanfor backing the attackers, Islamabad denied involvement and called for a neutral probe. The incident sparked amajor escalation in hostilitiesbetween the two South Asian nuclear-armed neighbors as the conflict escalated into airstrikes, drone and artillery attacks before a ceasefire was reached on May 10. The TRF initially claimed responsibility for the attack but later retracted its statement amid growing public outrage. To view this video please enable JavaScript, and consider upgrading to a web browser thatsupports HTML5 video Edited by: Alex Berry"
Brazil's Lula says Trump tariffs 'unacceptable blackmail',https://www.dw.com/en/brazil-s-lula-says-trump-tariffs-unacceptable-blackmail/a-73318638?maca=en-rss-en-world-4025-rdf,2025-07-18T04:05:00Z,"Left-wing Brazilian President Luiz Inacio Lula da Silva, commonly known as Lula, condemned US President Donald Trump's tariff threats and criticism of the Brazilian judiciary in a televised address on Thursday. Trump has threatened50% tariffs on Brazilian goodsstarting from August 1. The US president has said the tariffs would stay in place until legal charges were dropped against former conservative Brazilian President Jair Bolsonaro. Bolsonaro is on trial over allegations that he was involved in a coup attempt after the 2022 presidential election, which he lost to Lula. Bolsonaro has denied the allegations. Lula called the the tariff threat from Trump ""unacceptable blackmail."" He also said ""attempting to interfere in Brazilian justice is a grave attack on national sovereignty."" Lula characterized Brazilian politicians who back Trump's policies as ""traitors to the homeland."" ""No foreigner is going to give order to this president,""Lulasaid, using the word ""gringo"" to refer to Trump. The word ""gringo"" is commonly used by Brazilians, it refers to foreigners and is not used in an offensive manner. In an interview earlier Thursday with CNN, Lula denied that the proceedings against Bolsonaro are politically motivated. ""The judiciary branch of power in Brazil is independent. The president of the Republic has no influence whatsoever,"" he said. Although Lula has criticized Trump, he has emphasized that he wants a ""good relationship"" with the US president. Lula's condemnation of Trump comes as the US president posted a sympathy letter aimed at Bolsonaro on his Truth Social account. ""I have seen the terrible treatment you are receiving at the hands of an unjust system turned against you,"" Trump said in his letter to Bolsonaro. ""I have strongly voiced my disapproval both publicly and through our tariff policy."" Trump also alluded to the suspension of the conservative video platformRumblein Brazil, saying that the Latin American nation is cracking down on free speech. As Trump lashes out at the legal proceedings against Bolsonaro,TheWashington Postnewspaper reported that the Trump administration is considering sanctions against a key Brazilian Supreme Court judge. Supreme Federal Court Justice Alexandre de Moraes will be tasked with deciding whether Bolsonaro and codefendants will spend dozens of years in jail over the coup charges.TheWashington Postreported that Bolsonaro's son, Eduardo, is working with US officials to impose sanctions on Moraes. The dispute between the US and Brazil comes ahead of Brazilian presidential elections next year. Lula has suggested that he does not rule out a 2026 presidential run, and he may emphasize his Brazilian sovereignty message as a key part of his electoral platform if the feud with Trump continues into next year. Edited by: Dmytro Hubenko"
Trump requests release of documents related to Epstein case,https://www.dw.com/en/trump-requests-release-of-documents-related-to-epstein-case/a-73318735?maca=en-rss-en-world-4025-rdf,2025-07-18T03:30:00Z,"US President Donald Trumpdirected Attorney General Pam Bondi on Thursday to release the grand jury testimony related to theJeffrey Epsteincase, following court approval. ""This SCAM, perpetuated by the Democrats, should end, right now!"" Trump wrote in a post on his Truth Social platform, decrying the ""ridiculous amount of publicity given to Jeffrey Epstein."" Shortly after Trump's statement, Bondi said on X that the Justice Department was ready to move the court on Friday to unseal the grand jury transcripts. Trump's latest announcement on the Epstein case came shortly after his threats to sueThe Wall Street Journalnewspaper over a story that the president wrote a crude letter to Epstein. The letter allegedly featured a drawing of a naked woman — including Trump's signature as part of the drawing — that was part of a collection of notes for Epstein's 50th birthday in 2003. Trump strongly denied writing the note, calling it ""false, malicious, and defamatory,"" and claiming the newspaper ignored his direct denials. ""President Trump will be suingThe Wall Street Journal, NewsCorp, and Mr. [Rupert] Murdoch, shortly. The Press has to learn to be truthful, and not rely on sources that probably don't even exist,"" Trump posted on Truth Social. The president was alreadyunder intense scrutinyfor his previous ties to Epstein. Trump is among several high-profile figures who were once acquainted with Epstein, though he denies ever visiting Epstein's infamous estate in the US Virgin Islands. Epstein, a wealthy financier, was arrested onchild sex traffickingand in conspiracy charges. He died by suicide in jail in August 2019 while awaiting trial. His death sparked numerous conspiracy theories. During the 2024 election campaign, Trump promised to release files relating to Epstein, but later backtracked, urging his Make America Great Again (MAGA) supporters toforget about the files. Many of Trump's supporters, notably those in the core MAGA movement, are accusing the administration of shielding powerful figures allegedly tied to the case. The Epstein case is the most prominent rift between Trump and his loyal MAGA base ahead of the 2026 midterms. Trump has been accused numerous times of sexual assault. In January 2024, acourt ordered him to pay $83.3 million to E. Jean Carrollin defamation damages for denying he raped her three decades ago. Edited by: Dmytro Hubenko To view this video please enable JavaScript, and consider upgrading to a web browser thatsupports HTML5 video"
Trump receives vein issue diagnosis amid leg swelling rumors,https://www.dw.com/en/trump-receives-vein-issue-diagnosis-amid-leg-swelling-rumors/a-73318348?maca=en-rss-en-world-4025-rdf,2025-07-18T01:46:00Z,"US PresidentDonald Trumphas been diagnosed with a common, benign vein condition, White House Press Secretary Karoline Leavitt said Thursday. ""In recent weeks, President Trump noted mild swelling in his lower legs,"" Leavitt told journalists at a White House press briefing. She said medical tests ""revealed chronic venous insufficiency (CVI), a benign and common condition, particularly in individuals over the age of 70."" Trump is 79 years old. The announcement comes amid speculation regarding images showing Trump with a bruised hand and swollen legs. Leavitt claimed that the bruised hand was due to Trump shaking hands with so many people and because he takes aspirin. Trump takes aspirin to mitigate heart attack and stroke risk. Leavitt said laboratory testing found no evidence that Trump faces ""deep vein thrombosis or arterial disease."" A letter published by the White House from presidential physician Sean Barbabella said Trump ""remains in excellent health."" According to the Johns Hopkins Medicine website,CVI occurswhen ""leg veins don't allow blood to flow back up to your heart."" Johns Hopkins School of Medicine said CVI is ""not a serious health threat."" Stanford Medicinefound that CVI can cause fluid to pool in the legs, causing swelling. The White House's statements that Trump's health is in good shape comes as Trump has attacked the previousPresident Joe Biden, with Trump claiming Biden covered up his prostate cancer diagnosis. Biden, who served as president from January 2021 to January 2025, announced he had prostate cancer in May. Biden's office has denied that 82-year-old Biden covered his cancer diagnosis during his presidency. Trump and Biden are the oldest ever occupants of the White House, with their health put under a microscope by the US public. During Trump's first term in 2020, he was diagnosed with COVID-19, with Trump having to spent time in Walter Reed Military Hospital in Washington DC to recover. Trump's COVID-19 diagnosis and subsequent hospital stay was the focus of wall-to-wall media coverage. Edited by: Dmytro Hubenko"
Slovakia to stop blocking new EU sanctions on Russia,https://www.dw.com/en/slovakia-to-stop-blocking-new-eu-sanctions-on-russia/a-73318210?maca=en-rss-en-world-4025-rdf,2025-07-17T22:41:00Z,"Slovak Prime Minister Robert Fico said on Thursday that his country will end its blockade of a new EU sanctions package against Russia. Slovakiahad been holding up the 18th EU sanctions package against Russia over concerns regarding a separate EU plan to stop gas imports from Russia beginning in 2028. Any new sanctions package requires unanimous approval from all 27 EU member states. ""At this point, it would be counterproductive to continue blocking the 18th sanctions package tomorrow,"" Fico said in a video posted on Facebook. He said Slovakia received guarantees from the EU pertaining to gas prices and supply. Fico also said ""further dialogue is needed"" to ensure Slovakia's energy security. EU ambassadors are expected to meet on Friday to finally greenlight the package. Previous attempts to pass the new sanctions failed during a meeting ofEU foreign ministers in Brusselsearlier this week. To view this video please enable JavaScript, and consider upgrading to a web browser thatsupports HTML5 video The 18th EU sanctions package targets Russia's energy and banking sectors. The sanctions would prohibit EU operators from using the RussianNord Stream pipelinesthat extend from Russia toGermany. The measures would also decrease the oil price cap from $60 (€52) to $45 per barrel. Exports of oil and gas is a major boon for the Russian economy, with EU countries seeking to reduce or phase out their reliance on Russian fossil fuels since the Moscow'sfull-scale invasion of Ukraine began in February 2022. Germany ended direct imports of Russian gas in the summer of 2022. The latest round of sanctions aims to cut almost two dozen Russian banks from the SWIFT international payment system, further isolating the Russian financial sector. The measures will prohibit transactions to financial entities in third countries which defy sanctions and facilitate commerce with Russia. To view this video please enable JavaScript, and consider upgrading to a web browser thatsupports HTML5 video The sanctions will also target further vessels which are part of Russia's""shadow fleet""used to move Russian oil. Edited by: Dmytro Hubenko"
